t_s,ECG_II,PPG,RESP
0.472,-9e-05,-0.25908,0.30183
0.476,-0.01534,-0.2208,0.27939
0.48,0.01262,-0.26562,0.28363
0.484,0.0058,-0.28592,0.29627
0.488,0.01203,-0.30479,0.28596
0.492,-0.01322,-0.31555,0.28285
0.496,0.01184,-0.29327,0.28821
0.5,-0.05013,-0.35289,0.27727
0.504,0.00659,-0.38995,0.29817
0.508,-0.02262,-0.39721,0.2796
0.512,-0.02666,-0.39997,0.32015
0.516,-0.01597,-0.42779,0.2768
0.52,-0.00628,-0.42254,0.25927
0.524,-0.00699,-0.43349,0.33242
0.528,0.00853,-0.44594,0.3012
0.532,-0.0188,-0.48067,0.30905
0.536,0.00351,-0.5009,0.30743
0.54,-0.01021,-0.47501,0.24916
0.544,0.00539,-0.48848,0.31849
0.548,0.01678,-0.5014,0.25904
0.552,0.02105,-0.49989,0.29355
0.556,0.02672,-0.52493,0.33215
0.56,-0.02583,-0.54163,0.3216
0.564,-0.00297,-0.5559,0.30149
0.568,0.01842,-0.51836,0.33328
0.572,0.01114,-0.56801,0.33089
0.576,-0.02943,-0.59039,0.32654
0.58,-0.03382,-0.5926,0.31767
0.584,0.01087,-0.5434,0.33847
0.588,0.02633,-0.56398,0.3246
0.592,-0.01866,-0.58575,0.30369
0.596,0.00171,-0.59001,0.35844
0.6,0.00262,-0.60681,0.33966
0.604,0.03299,-0.59653,0.34632
0.608,-0.00203,-0.57267,0.31982
0.612,0.02178,-0.59238,0.37099
0.616,0.01086,-0.60514,0.33568
0.62,-0.00189,-0.58482,0.32076
0.624,-0.02233,-0.61451,0.36223
0.628,-0.00923,-0.54533,0.31541
0.632,0.0225,-0.59458,0.3266
0.636,-0.00351,-0.58116,0.32769
0.64,0.0078,-0.56868,0.36465
0.644,-0.0218,-0.61351,0.32928
0.648,-0.03788,-0.58179,0.37318
0.652,-0.02006,-0.59837,0.3456
0.656,0.02804,-0.57861,0.39684
0.66,0.00867,-0.56617,0.36724
0.664,-0.01576,-0.53425,0.3483
0.668,-0.0302,-0.52506,0.33864
0.672,0.03404,-0.5151,0.36711
0.676,-0.00146,-0.4883,0.3382
0.68,-0.00035,-0.51493,0.33909
0.684,-0.02256,-0.48444,0.33452
0.688,0.02275,-0.49606,0.36905
0.692,-0.00322,-0.47195,0.35899
0.696,-0.01031,-0.48589,0.33396
0.7,-0.03214,-0.45563,0.34749
0.704,0.00709,-0.413,0.35854
0.708,0.00351,-0.44388,0.35227
0.712,-0.01905,-0.38035,0.3406
0.716,-0.00584,-0.38023,0.34036
0.72,-0.02559,-0.364,0.35805
0.724,-0.0198,-0.36939,0.33191
0.728,0.02465,-0.31927,0.36559
0.732,-0.02651,-0.31643,0.36606
0.736,0.00074,-0.32101,0.35141
0.74,0.01153,-0.27288,0.3604
0.744,0.01731,-0.2858,0.36372
0.748,-0.02126,-0.23333,0.34892
0.752,0.00399,-0.24268,0.36511
0.756,0.00339,-0.17872,0.39409
0.76,-0.01729,-0.19721,0.36177
0.764,-0.00296,-0.19365,0.37206
0.768,0.02045,-0.18462,0.3807
0.772,0.00942,-0.1598,0.34692
0.776,0.00915,-0.13445,0.34735
0.78,0.05793,-0.13483,0.393
0.784,-0.00288,-0.06552,0.35366
0.788,-0.03237,-0.08479,0.34588
0.792,0.0147,-0.0722,0.36838
0.796,-0.00144,-0.04409,0.34449
0.8,-0.01357,0.01461,0.40699
0.804,-0.00862,0.00226,0.36877
0.808,-0.01967,0.06411,0.37582
0.812,0.00152,0.04011,0.35273
0.816,-0.01279,0.06013,0.37737
0.82,-0.01489,0.07024,0.41408
0.824,0.02922,0.10258,0.35532
0.828,0.01495,0.16255,0.36604
0.832,0.02275,0.16599,0.37335
0.836,-0.01593,0.14233,0.37968
0.84,-0.01662,0.19842,0.37756
0.844,-0.02439,0.21545,0.4056
0.848,0.01157,0.27002,0.36859
0.852,0.01388,0.2374,0.3626
0.856,0.00534,0.29907,0.42418
0.86,0.01114,0.22448,0.39652
0.864,0.02545,0.28455,0.36753
0.868,-0.00653,0.30211,0.36014
0.872,0.01111,0.30232,0.41647
0.876,-0.0168,0.34948,0.3849
0.88,-0.0276,0.3456,0.41814
0.884,0.00019,0.35982,0.37905
0.888,-0.053,0.39923,0.38371
0.892,0.01229,0.40271,0.41004
0.896,0.01282,0.41268,0.43341
0.9,0.01758,0.41938,0.36956
0.904,0.00084,0.44842,0.36808
0.908,-0.03088,0.46344,0.40852
0.912,-0.03917,0.47704,0.42661
0.916,-0.01418,0.49779,0.38308
0.92,0.0236,0.49896,0.39631
0.924,0.00266,0.51499,0.40853
0.928,0.00274,0.55677,0.4016
0.932,-0.03773,0.51956,0.37456
0.936,0.03397,0.51978,0.38228
0.94,0.02323,0.53731,0.39993
0.944,-0.00753,0.55164,0.40165
0.948,-0.01469,0.55203,0.40849
0.952,0.01015,0.59148,0.37326
0.956,0.00127,0.59781,0.40333
0.96,-0.01956,0.54939,0.37496
0.964,-0.01853,0.57207,0.40841
0.968,-0.01467,0.56851,0.36983
0.972,0.02343,0.61144,0.433
0.976,-0.02043,0.60295,0.40837
0.98,0.00875,0.61347,0.34954
0.984,0.02067,0.61237,0.394
0.988,-0.00046,0.57703,0.42304
0.992,-0.01673,0.59686,0.4173
0.996,-0.01439,0.58548,0.38974
1.0,0.01431,0.61186,0.38371
1.004,-0.03397,0.60102,0.40575
1.008,0.02381,0.60725,0.43077
1.012,0.03931,0.56601,0.36454
1.016,-0.03326,0.61483,0.40345
1.02,-0.04429,0.58033,0.36473
1.024,-0.00446,0.58203,0.40973
1.028,-0.00242,0.58313,0.38836
1.032,0.03507,0.55722,0.3919
1.036,-0.01992,0.53291,0.40578
1.04,0.00121,0.54869,0.38301
1.044,0.00127,0.54036,0.40849
1.048,-0.04376,0.5253,0.42111
1.052,0.05213,0.54172,0.4002
1.056,0.01242,0.49062,0.42431
1.06,-0.01936,0.49091,0.39425
1.064,-0.01157,0.51953,0.38412
1.068,0.03535,0.48332,0.39883
1.072,0.07803,0.49197,0.37939
1.076,0.08283,0.47178,0.39021
1.08,0.1438,0.43599,0.39397
1.084,0.14863,0.42213,0.36397
1.088,0.24144,0.40923,0.40611
1.092,0.35841,0.43119,0.41231
1.096,0.45699,0.38955,0.39834
1.1,0.56028,0.36435,0.38853
1.104,0.65866,0.34551,0.42859
1.108,0.78919,0.35139,0.41052
1.112,0.89487,0.32176,0.38011
1.116,0.96457,0.31053,0.39279
1.12,0.97774,0.2586,0.36372
1.124,1.00569,0.26561,0.39862
1.128,0.92728,0.23264,0.41998
1.132,0.86153,0.23266,0.40502
1.136,0.72973,0.23527,0.3987
1.14,0.62408,0.19982,0.39066
1.144,0.51581,0.15509,0.38931
1.148,0.42089,0.15768,0.39073
1.152,0.27094,0.16052,0.37219
1.156,0.21213,0.12242,0.40442
1.16,0.18171,0.16186,0.3684
1.164,0.07841,0.08561,0.41352
1.168,0.05583,0.03707,0.36533
1.172,0.04785,0.01981,0.41947
1.176,0.00933,0.01019,0.37879
1.18,-0.0104,-0.0082,0.41643
1.184,-0.00323,-0.05494,0.36324
1.188,-0.00346,-0.0447,0.40795
1.192,0.02315,-0.0753,0.37616
1.196,0.05207,-0.09554,0.38811
1.2,-0.01256,-0.13158,0.38509
1.204,0.00393,-0.13994,0.36799
1.208,-0.00518,-0.15193,0.36134
1.212,0.00189,-0.15772,0.3849
1.216,0.01552,-0.18417,0.37273
1.22,0.01414,-0.17456,0.36629
1.224,-0.02158,-0.23558,0.37174
1.228,0.00208,-0.23053,0.34711
1.232,-0.00643,-0.2428,0.37461
1.236,-0.015,-0.24782,0.35383
1.24,0.02002,-0.26795,0.36853
1.244,-0.02548,-0.33,0.41402
1.248,-0.00224,-0.33833,0.36873
1.252,-0.00093,-0.37427,0.39285
1.256,-0.01172,-0.34164,0.37554
1.26,-0.01852,-0.33571,0.33137
1.264,-0.0229,-0.39873,0.36852
1.268,0.00137,-0.40309,0.3708
1.272,-0.02639,-0.4101,0.33746
1.276,0.01138,-0.46238,0.38188
1.28,0.01061,-0.43761,0.30461
1.284,0.02027,-0.42264,0.36128
1.288,-0.0074,-0.47653,0.3666
1.292,0.00922,-0.50156,0.34886
1.296,0.01335,-0.49927,0.37732
1.3,0.00998,-0.55068,0.39352
1.304,0.00325,-0.52266,0.34932
1.308,0.02521,-0.52501,0.36781
1.312,0.01088,-0.50097,0.36845
1.316,8e-05,-0.54971,0.36117
1.32,-0.0011,-0.55558,0.34757
1.324,-0.01523,-0.57297,0.34684
1.328,0.00894,-0.58622,0.38405
1.332,0.01888,-0.58012,0.31907
1.336,0.00016,-0.57936,0.32313
1.34,-0.00884,-0.6275,0.31478
1.344,0.01554,-0.56042,0.31982
1.348,-0.03624,-0.60838,0.36149
1.352,0.01519,-0.56153,0.35385
1.356,0.00474,-0.57038,0.40155
1.36,0.01071,-0.63593,0.31958
1.364,-0.04459,-0.61232,0.32034
1.368,0.00017,-0.60243,0.3588
1.372,0.03961,-0.60885,0.3684
1.376,0.02262,-0.60807,0.32792
1.38,-0.03384,-0.58413,0.31574
1.384,-0.00312,-0.5565,0.30983
1.388,0.02088,-0.59244,0.29289
1.392,0.00451,-0.59954,0.29927
1.396,-0.00167,-0.57067,0.29405
1.4,-0.02512,-0.60189,0.36127
1.404,0.02566,-0.57971,0.32398
1.408,-0.0269,-0.54802,0.30585
1.412,-0.01203,-0.55744,0.35403
1.416,0.01509,-0.60115,0.31961
1.42,-0.01833,-0.55168,0.29605
1.424,-0.01572,-0.56597,0.31724
1.428,0.0183,-0.5298,0.32346
1.432,0.00865,-0.51368,0.2999
1.436,0.01662,-0.50234,0.34194
1.44,-0.01938,-0.52115,0.27578
1.444,-0.03045,-0.48729,0.30688
1.448,-0.00216,-0.44624,0.30947
1.452,0.00326,-0.47683,0.34498
1.456,-0.00105,-0.45293,0.28602
1.46,-0.00789,-0.44469,0.30118
1.464,-0.02479,-0.39639,0.29983
1.468,0.01256,-0.40992,0.31906
1.472,-0.02068,-0.40117,0.29387
1.476,0.00336,-0.39918,0.27264
1.48,0.03043,-0.38781,0.30214
1.484,-0.00201,-0.33778,0.3146
1.488,-0.03576,-0.31205,0.25123
1.492,0.03903,-0.31391,0.29614
1.496,-0.02235,-0.28364,0.26108
1.5,-0.01381,-0.26533,0.2708
1.504,0.00731,-0.25119,0.25993
1.508,0.02938,-0.26364,0.36115
1.512,0.00966,-0.20658,0.29702
1.516,-0.00888,-0.19737,0.27851
1.52,-0.01585,-0.18731,0.25863
1.524,-0.03007,-0.15697,0.28248
1.528,0.00298,-0.12822,0.27682
1.532,0.00993,-0.11269,0.28206
1.536,0.04184,-0.11358,0.25493
1.54,0.00672,-0.06308,0.26133
1.544,0.03173,-0.03799,0.27866
1.548,-0.0234,-0.0774,0.26522
1.552,0.01624,-0.04741,0.27995
1.556,0.01617,0.00628,0.24725
1.56,-0.00394,0.01994,0.26017
1.564,0.00323,0.04308,0.30745
1.568,0.01576,0.0611,0.21772
1.572,0.03085,0.05643,0.26066
1.576,0.00625,0.07817,0.24926
1.58,0.01468,0.09342,0.27485
1.584,0.05267,0.14855,0.21032
1.588,0.01877,0.13875,0.266
1.592,-0.01658,0.20783,0.26688
1.596,-0.04102,0.16664,0.23631
1.6,-0.01038,0.22749,0.19748
1.604,0.01441,0.23847,0.27179
1.608,-0.04934,0.26217,0.24582
1.612,0.01856,0.28015,0.21682
1.616,0.01109,0.25927,0.26106
1.62,0.00258,0.33851,0.24393
1.624,-0.00705,0.31194,0.1876
1.628,0.02148,0.35775,0.21702
1.632,0.00922,0.34674,0.1965
1.636,-0.02932,0.38168,0.25668
1.64,-0.01609,0.38417,0.21374
1.644,0.02489,0.34852,0.27499
1.648,0.00365,0.42363,0.2165
1.652,-0.03397,0.41579,0.19998
1.656,-0.03417,0.41488,0.17832
1.66,0.03602,0.44809,0.17537
1.664,-0.01959,0.49419,0.21861
1.668,-0.02311,0.46054,0.20143
1.672,-0.03467,0.49005,0.17388
1.676,0.00105,0.50685,0.21428
1.68,0.03142,0.51075,0.16988
1.684,0.02729,0.54357,0.19949
1.688,0.0287,0.54691,0.19378
1.692,0.00134,0.57142,0.16295
1.696,-0.00085,0.57013,0.16924
1.7,0.007,0.56309,0.16971
1.704,-0.01197,0.59419,0.1285
1.708,-0.01619,0.53934,0.18031
1.712,-0.00152,0.55144,0.19274
1.716,0.01337,0.60163,0.17025
1.72,-0.02509,0.60185,0.1605
1.724,-0.02172,0.57732,0.16001
1.728,-0.02666,0.59023,0.15012
1.732,0.01907,0.58427,0.20883
1.736,-0.01677,0.55981,0.14288
1.74,-0.00975,0.58758,0.14484
1.744,0.0158,0.63845,0.1495
1.748,0.00664,0.5914,0.11706
1.752,0.01348,0.60512,0.15783
1.756,-0.00545,0.55222,0.11494
1.76,-0.01374,0.60988,0.1535
1.764,0.01446,0.60506,0.17321
1.768,0.00452,0.64678,0.1499
1.772,0.00038,0.58308,0.14056
1.776,0.02334,0.58601,0.14723
1.78,0.00031,0.55429,0.11744
1.784,0.03196,0.58239,0.14318
1.788,0.00543,0.54154,0.15204
1.792,-0.03063,0.53203,0.10198
1.796,-0.01682,0.5845,0.12793
1.8,0.00491,0.5649,0.10869
1.804,-0.02851,0.55312,0.10754
1.808,-0.05024,0.49122,0.08631
1.812,-0.02673,0.48698,0.11517
1.816,-0.02303,0.51306,0.08767
1.82,-0.01562,0.48826,0.12935
1.824,-0.04719,0.4649,0.14798
1.828,0.01094,0.46495,0.13451
1.832,0.01136,0.45086,0.11358
1.836,-0.00917,0.45675,0.09906
1.84,0.02838,0.43535,0.08615
1.844,0.00051,0.39608,0.12497
1.848,-0.00096,0.41171,0.10333
1.852,0.06639,0.36815,0.09907
1.856,0.06992,0.34762,0.06274
1.86,0.12275,0.36331,0.07201
1.864,0.22381,0.33327,0.05578
1.868,0.30146,0.32281,0.10393
1.872,0.44513,0.28517,0.06544
1.876,0.51026,0.29898,0.08999
1.88,0.65509,0.26681,0.08295
1.884,0.75783,0.23254,0.05794
1.888,0.89055,0.19597,0.08539
1.892,0.93585,0.23148,0.04992
1.896,0.95854,0.19057,0.04149
1.9,1.04062,0.18384,0.04808
1.904,0.94824,0.13558,0.06243
1.908,0.89207,0.15714,0.09074
1.912,0.84445,0.13349,0.03955
1.916,0.68936,0.07342,0.04894
1.92,0.56501,0.08567,0.04919
1.924,0.44483,0.08733,0.06058
1.928,0.37435,-0.00416,0.05504
1.932,0.27163,0.00969,0.04429
1.936,0.17184,0.00689,0.05552
1.94,0.09859,-0.01986,0.07719
1.944,0.06826,-0.04507,0.00789
1.948,0.0077,-0.05934,0.05295
1.952,0.03016,-0.09451,0.00996
1.956,-0.01235,-0.13739,0.01539
1.96,-0.00051,-0.11076,0.0349
1.964,0.0383,-0.18876,0.01725
1.968,-0.00455,-0.15115,0.02699
1.972,-0.03927,-0.17399,0.03513
1.976,0.01527,-0.20361,-0.00277
1.98,0.00336,-0.18841,-0.00871
1.984,-0.00185,-0.2491,-0.02557
1.988,0.00804,-0.24196,0.02438
1.992,-0.00015,-0.29257,-0.009
1.996,-0.03524,-0.24759,-0.02108
